date,daily_return,portfolio_value,position_scalar,sentiment_score
2024-04-03,-0.010857179999999998,105000155.29463655,0.8,-1.261203138589925
2024-04-08,-0.0341385,101415607.4931106,0.8,-1.2965901621833853
2024-04-09,0.01133804,102565461.70749179,0.8,-1.2965901621833853
2024-04-10,-0.02383054,100121271.36965294,0.8,0.928535419759192
2024-04-11,-0.00533396,99587228.51301807,1.0,0.928535419759192
2024-04-12,-0.013659959999999999,98226870.95501938,1.0,0.928535419759192
2024-04-15,-0.04228946,94072909.62484193,1.0,0.928535419759192
2024-04-16,-0.051830440000000005,89197069.32690613,1.0,0.928535419759192
2024-04-17,0.020170139999999996,90996186.70281954,1.0,0.928535419759192
2024-04-18,-0.01515846,89616824.64653233,1.0,0.928535419759192
2024-04-19,-0.02299234,87556324.14453886,1.0,0.928535419759192
2024-04-22,-0.01462032,86276222.66752198,0.8,1.358534982511343
2024-04-23,-0.006180700000000001,85742975.21808083,0.8,1.358534982511343
2024-04-24,0.0026208399999999997,85967693.8372514,0.8,1.358534982511343
2024-04-25,0.0048791,86387138.81225272,0.8,1.002000947749193
2024-04-26,0.004248880000000001,86754187.39860933,1.2,-1.169881646924878
2024-04-29,0.02746748,89137106.3058969,0.8,1.3536106157315029
2024-04-30,-0.00683502,88527852.40155396,1.2,-1.1084342619833647
2024-05-06,0.005163260000000001,88984944.7207448,0.8,1.493139830797712
2024-05-07,0.0013759199999999994,89107380.88588499,0.8,1.493139830797712
2024-05-08,-0.01484694,87784408.9483151,0.8,-0.1522744156296121
2024-05-09,6.940000000000418e-06,87785018.1721132,1.0,-0.1522744156296121
2024-05-10,-0.018965040000000002,86120171.79107834,1.0,-0.1522744156296121
2024-05-13,-0.020489200000000003,84355638.36721659,1.0,0.8593731381972192
2024-05-14,0.013606639999999998,85503435.17044948,1.0,0.8593731381972192
2024-05-15,0.0047829199999999995,85912391.26059493,1.0,0.8593731381972192
2024-05-16,0.009709079999999998,86746521.54033534,1.0,0.8593731381972192
2024-05-17,0.0077693,87420481.29013868,0.8,0.986211300176067
2024-05-20,-0.0038279000000000004,87085844.42980815,1.0,0.986211300176067
2024-05-21,-0.010086079999999999,86207489.63602155,1.2,-1.2484032206445288
2024-05-22,0.00269408,86439739.50970016,0.8,-1.2484032206445288
2024-05-23,-0.01393844,85234904.38692857,0.8,-1.2484032206445288
2024-05-24,-0.009480899999999999,84426800.78192654,0.8,-1.2484032206445288
2024-05-27,-0.00969794,83608034.73355146,0.8,-1.2484032206445288
2024-05-28,-0.017830040000000002,82117300.12993085,0.8,-1.2484032206445288
2024-05-29,-0.00548452,81666926.15502225,0.8,-1.2484032206445288
2024-05-30,-0.013050700000000002,80601115.6018509,0.8,-1.2484032206445288
2024-05-31,-0.0040735,80272786.95744675,0.8,-1.2484032206445288
2024-06-03,-0.031760659999999996,77723270.26363885,0.8,-1.2484032206445288
2024-06-04,-0.02775278,75566233.44313154,0.8,-1.2484032206445288
2024-06-05,-0.015394660000000003,74402916.97179389,0.8,-1.2484032206445288
